,id_item,title,price,category,link,img_url
42,43,"Повседневный пиджак из 100% шерсти, полуприлегающий силуэт, на мужчин роста выше среднего JT-0364-1-S NAVY",35999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0364-1-s-navy/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0364-1-S/JT-0364-1-S-NAVY-5-1.jpg
43,44,"Повседневный трикотажный пиджак, прямой силуэт JT-0353-R BEIGE",14995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0353-r-beige/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0353-R/JT-0353-R-BEIGE-5-1.jpg
44,45,"Повседневный трикотажный пиджак, прямой силуэт, на мужчин роста ниже среднего JT-0353-RP BEIGE",14995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0353-rp-beige/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0353-RP/JT-0353-RP-BEIGE-5-1.jpg
45,46,"Повседневный пиджак из эластичной ткани, прилегающий силуэт, на мужчину роста выше среднего JT-0354-S NAVY",19999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0354-s-navy/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0354-S/JT-0354-S-NAVY-5-1.jpg
46,47,"Повседневный трикотажный пиджак, прямой силуэт JT-0349-R BLACK",20995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0349-r-black/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0349-R/JT-0349-R-BLACK-5-1.jpg
47,48,"Повседневный пиджак изо льна от итальянской фабрики Lanificio Bottoli, прямой силуэт JT-0333-R BLUE",23995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0333-r-blue/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0333-R/JT-0333-R-BLUE-5-1.jpg
48,49,"Повседневный пиджак из шерсти, льна и шелка, прямой силуэт JT-0345-R RED",19995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0345-r-red/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0345-R/JT-0345-R-RED-5-1.jpg
49,50,"Пиджак шерстяной из ткани рогожка, прямой, на мужчин среднего телосложения JT-0344-R GREEN",35999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0344-r-green/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0344-R/JT-0344-R-GREEN-5-1.jpg
50,51,"Пиджак шерстяной из ткани рогожка, прямой, на мужчин среднего телосложения JT-0343-R NAVY",35999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0343-r-navy/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0343-R/JT-0343-R-NAVY-5-1.jpg
51,52,"Повседневный пиджак из хлопка и льна от итальянской фабрики Lanificio Bottoli, прямой силуэт JT-0334-R BEIGE",29995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0334-r-beige/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0334-R/JT-0334-R-BEIGE-5-1.jpg
52,53,"Повседневный пиджак из хлопка и льна от итальянской фабрики Lanificio Bottoli, прямой силуэт, на мужчин плотного телосложения JT-0334-RP BEIGE",29995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0334-rp-beige/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0334-RP/JT-0334-RP-BEIGE-5-1.jpg
53,54,"Повседневный вельветовый пиджак, прямой силуэт JT-0348-R RUST",13995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0348-r-rust/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0348-R/JT-0348-R-RUST-5-1.jpg
54,55,"Повседневный пиджак из шерсти от итальянской фабрики Drago, прямой силуэт JT-0327-R BEIGE",23995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0327-r-beige/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0327-R/JT-0327-R-BEIGE-5-1.jpg
55,56,"Пиджак повседневный из смеси хлопка и льна, прямой, на мужчин среднего телосложения JT-0339-R ECRU",11995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0339-r-ecru/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0339-R/JT-0339-R-ECRU-5-1.jpg
56,57,"Повседневный пиджак из хлопка и льна от итальянской фабрики Lanificio Bottoli, прямой силуэт JT-0335-R BEIGE",29995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0335-r-beige/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0335-R/JT-0335-R-BEIGE-5-1.jpg
57,58,"Пиджак повседневный из смеси хлопка и льна, прямой, на мужчин среднего телосложения JT-0336-R RUST",11995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0336-r-rust/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0336-R/JT-0336-R-RUST-5-1.jpg
